Iteration	Lh	Tree No	q12	q13	q21	q24	q31	q34	q42	q43	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	Node01 - P(0,0)	Node01 - P(0,1)	Node01 - P(1,0)	Node01 - P(1,1)	
72000	-213.186285	36	0.648444	0.176257	2.670868	0.786503	2.622088	3.307009	1.006853	0.062841	1.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	
73000	-208.110791	67	0.621525	0.154860	2.936728	0.024419	3.622193	2.342250	0.748746	0.124151	1.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	
74000	-211.006541	80	0.750354	0.132915	3.213661	0.212457	0.140519	6.426932	1.709955	0.300723	1.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	
75000	-208.929689	67	0.574395	0.132246	2.888464	0.412485	0.779270	6.857903	0.440483	0.071197	1.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	
76000	-211.102098	72	0.750230	0.140707	2.935317	0.382668	0.607277	6.002519	1.524552	0.680819	1.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	
77000	-211.300619	41	0.613918	0.311833	1.955220	0.328536	3.842498	2.133212	1.498452	0.115210	1.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	
78000	-213.280703	67	0.750433	0.076183	5.942774	0.400913	2.248249	0.630340	0.410583	0.788159	1.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	
79000	-211.739354	64	0.359649	0.155637	2.266884	0.176961	7.629506	3.089132	1.345851	0.015986	1.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	
80000	-212.301317	29	0.384330	0.183370	1.591054	0.677803	4.044062	3.886424	1.787376	0.031438	1.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	
81000	-209.327235	67	0.738685	0.202905	4.113129	0.500031	0.561807	0.068753	1.866617	0.138955	1.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	
82000	-210.653238	67	0.704688	0.067646	3.906573	0.442059	4.467054	3.760348	1.396706	0.518220	1.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	
83000	-211.756001	67	0.435474	0.364528	2.629963	1.045305	2.199848	5.055871	2.415112	0.029123	1.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	
84000	-211.879724	67	0.472892	0.071274	1.907733	1.179500	5.800003	4.295349	1.519804	0.378528	1.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	
85000	-206.402378	67	0.501405	0.209895	2.201531	0.516683	0.255046	2.833044	0.623895	0.163819	1.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	
86000	-212.152475	3	0.546715	0.123127	4.327324	0.163093	1.269608	3.318754	3.122907	0.284553	1.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	
87000	-208.462433	67	0.587627	0.115069	2.883259	0.954119	2.740917	0.641908	0.617741	0.932061	1.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	
