Iteration,Lh,Tree No,No Off Parmeters,No Off Zero,Model string,Dep / InDep,q12,q13,q21,q24,q31,q34,q42,q43,"Root - P(0,0)","Root - P(0,1)","Root - P(1,0)","Root - P(1,1)","Node01 - P(0,0)","Node01 - P(0,1)","Node01 - P(1,0)","Node01 - P(1,1)"
108000,-218.895035,88,2,2,'1 Z 0 1 Z 1 1 1 ,D,1.234593,0,3.761449,1.234593,0,1.234593,1.234593,1.234593,1,0,0,0,1,0,0,0
109000,-218.065343,77,2,1,'1 Z 0 1 1 1 1 1 ,D,0.98389,0,5.085684,0.98389,0.98389,0.98389,0.98389,0.98389,1,0,0,0,1,0,0,0
110000,-215.484889,3,2,2,'1 Z 0 1 Z 1 1 1 ,D,0.777571,0,2.96089,0.777571,0,0.777571,0.777571,0.777571,1,0,0,0,1,0,0,0
111000,-216.901937,61,2,3,'0 Z 1 0 Z Z 0 0 ,D,0.772107,0,3.079945,0.772107,0,0,0.772107,0.772107,1,0,0,0,1,0,0,0
112000,-214.010819,49,2,2,'0 0 1 0 Z Z 0 0 ,D,0.24809,0.24809,3.832196,0.24809,0,0,0.24809,0.24809,1,0,0,0,1,0,0,0
113000,-216.738323,37,3,0,'2 0 1 2 2 1 2 0 ,D,1.096266,0.159797,3.416279,1.096266,1.096266,3.416279,1.096266,0.159797,1,0,0,0,1,0,0,0
114000,-215.45802,100,2,1,'0 0 1 0 1 Z 0 0 ,D,0.250778,0.250778,5.067498,0.250778,5.067498,0,0.250778,0.250778,1,0,0,0,1,0,0,0
115000,-212.875431,9,2,1,'0 0 1 0 1 Z 0 0 ,D,0.331844,0.331844,3.384155,0.331844,3.384155,0,0.331844,0.331844,1,0,0,0,1,0,0,0
116000,-209.016538,49,3,1,'2 0 1 2 2 1 2 Z ,D,0.550326,0.244513,3.026149,0.550326,0.550326,3.026149,0.550326,0,1,0,0,0,1,0,0,0
117000,-214.189345,64,3,0,'2 0 1 2 1 2 0 0 ,D,0.352419,0.216846,3.770315,0.352419,3.770315,0.352419,0.216846,0.216846,1,0,0,0,1,0,0,0
118000,-215.235305,80,2,1,'0 0 1 0 0 Z 0 0 ,D,0.342296,0.342296,4.970188,0.342296,0.342296,0,0.342296,0.342296,1,0,0,0,1,0,0,0
119000,-214.259453,49,3,0,'0 0 2 0 1 0 0 0 ,D,0.40768,0.40768,4.170262,0.40768,1.478167,0.40768,0.40768,0.40768,1,0,0,0,1,0,0,0
120000,-213.873642,65,2,1,'0 0 1 0 1 Z 0 0 ,D,0.297623,0.297623,3.361782,0.297623,3.361782,0,0.297623,0.297623,1,0,0,0,1,0,0,0
121000,-211.620779,3,2,1,'0 0 1 0 1 Z 0 0 ,D,0.361333,0.361333,3.471605,0.361333,3.471605,0,0.361333,0.361333,1,0,0,0,1,0,0,0
122000,-212.999946,3,3,1,'0 0 2 0 1 1 0 Z ,D,0.498214,0.498214,1.79668,0.498214,4.256172,4.256172,0.498214,0,1,0,0,0,1,0,0,0
